2023-05-26 22:16:34.858 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:16:34.858 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:16:41.564 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:16:41.565 401:pos-tag                INFO     eval_acc = 0.4382
2023-05-26 22:16:41.565 401:pos-tag                INFO     eval_f1 = 0.1149
2023-05-26 22:16:41.566 401:pos-tag                INFO     eval_mcc = 0.4065
2023-05-26 22:16:41.566 401:pos-tag                INFO     eval_precision = 0.1708
2023-05-26 22:16:41.566 401:pos-tag                INFO     eval_recall = 0.1171
2023-05-26 22:16:41.566 293:pos-tag                INFO     ********************
2023-05-26 22:16:41.566 294:pos-tag                INFO     Best f1:0.1149
2023-05-26 22:16:41.566 295:pos-tag                INFO     ********************
2023-05-26 22:16:43.839 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:16:43.840 315:pos-tag                INFO     ********************
2023-05-26 22:16:43.840 316:pos-tag                INFO     Best MCC:0.4065
2023-05-26 22:16:43.841 317:pos-tag                INFO     ********************
2023-05-26 22:16:46.204 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:16:47.812 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:16:47.813 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:16:47.813 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:16:54.466 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:16:54.466 401:pos-tag                INFO     eval_acc = 0.4853
2023-05-26 22:16:54.466 401:pos-tag                INFO     eval_f1 = 0.1498
2023-05-26 22:16:54.466 401:pos-tag                INFO     eval_mcc = 0.4459
2023-05-26 22:16:54.467 401:pos-tag                INFO     eval_precision = 0.1957
2023-05-26 22:16:54.467 401:pos-tag                INFO     eval_recall = 0.1493
2023-05-26 22:16:54.467 293:pos-tag                INFO     ********************
2023-05-26 22:16:54.467 294:pos-tag                INFO     Best f1:0.1498
2023-05-26 22:16:54.467 295:pos-tag                INFO     ********************
2023-05-26 22:16:56.785 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:16:56.786 315:pos-tag                INFO     ********************
2023-05-26 22:16:56.786 316:pos-tag                INFO     Best MCC:0.4459
2023-05-26 22:16:56.786 317:pos-tag                INFO     ********************
2023-05-26 22:16:59.170 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:17:00.763 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:17:00.763 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:17:00.764 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:17:07.462 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:17:07.462 401:pos-tag                INFO     eval_acc = 0.5201
2023-05-26 22:17:07.462 401:pos-tag                INFO     eval_f1 = 0.1662
2023-05-26 22:17:07.462 401:pos-tag                INFO     eval_mcc = 0.4885
2023-05-26 22:17:07.463 401:pos-tag                INFO     eval_precision = 0.2413
2023-05-26 22:17:07.463 401:pos-tag                INFO     eval_recall = 0.1621
2023-05-26 22:17:07.463 293:pos-tag                INFO     ********************
2023-05-26 22:17:07.463 294:pos-tag                INFO     Best f1:0.1662
2023-05-26 22:17:07.463 295:pos-tag                INFO     ********************
2023-05-26 22:17:09.804 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:17:09.804 315:pos-tag                INFO     ********************
2023-05-26 22:17:09.804 316:pos-tag                INFO     Best MCC:0.4885
2023-05-26 22:17:09.805 317:pos-tag                INFO     ********************
2023-05-26 22:17:12.222 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:17:13.468 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:17:13.468 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:17:13.468 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:17:20.135 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:17:20.135 401:pos-tag                INFO     eval_acc = 0.5391
2023-05-26 22:17:20.135 401:pos-tag                INFO     eval_f1 = 0.1913
2023-05-26 22:17:20.136 401:pos-tag                INFO     eval_mcc = 0.51
2023-05-26 22:17:20.136 401:pos-tag                INFO     eval_precision = 0.2519
2023-05-26 22:17:20.136 401:pos-tag                INFO     eval_recall = 0.1846
2023-05-26 22:17:20.136 293:pos-tag                INFO     ********************
2023-05-26 22:17:20.136 294:pos-tag                INFO     Best f1:0.1913
2023-05-26 22:17:20.136 295:pos-tag                INFO     ********************
2023-05-26 22:17:22.474 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:17:22.475 315:pos-tag                INFO     ********************
2023-05-26 22:17:22.475 316:pos-tag                INFO     Best MCC:0.51
2023-05-26 22:17:22.475 317:pos-tag                INFO     ********************
2023-05-26 22:17:24.880 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:17:26.464 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:17:26.464 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:17:26.464 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:17:33.146 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:17:33.146 401:pos-tag                INFO     eval_acc = 0.5693
2023-05-26 22:17:33.146 401:pos-tag                INFO     eval_f1 = 0.2132
2023-05-26 22:17:33.147 401:pos-tag                INFO     eval_mcc = 0.5388
2023-05-26 22:17:33.147 401:pos-tag                INFO     eval_precision = 0.2949
2023-05-26 22:17:33.147 401:pos-tag                INFO     eval_recall = 0.2027
2023-05-26 22:17:33.147 293:pos-tag                INFO     ********************
2023-05-26 22:17:33.147 294:pos-tag                INFO     Best f1:0.2132
2023-05-26 22:17:33.147 295:pos-tag                INFO     ********************
2023-05-26 22:17:35.462 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:17:35.465 315:pos-tag                INFO     ********************
2023-05-26 22:17:35.466 316:pos-tag                INFO     Best MCC:0.5388
2023-05-26 22:17:35.466 317:pos-tag                INFO     ********************
2023-05-26 22:17:37.940 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
