2023-05-23 21:58:24.841 401:pos-tag                INFO     eval_mcc = 0.3672
2023-05-23 21:58:24.841 401:pos-tag                INFO     eval_precision = 0.0665
2023-05-23 21:58:24.841 401:pos-tag                INFO     eval_recall = 0.0634
2023-05-23 21:58:24.841 293:pos-tag                INFO     ********************
2023-05-23 21:58:24.841 294:pos-tag                INFO     Best f1:0.0573
2023-05-23 21:58:24.841 295:pos-tag                INFO     ********************
2023-05-23 21:58:26.002 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:58:26.003 315:pos-tag                INFO     ********************
2023-05-23 21:58:26.003 316:pos-tag                INFO     Best MCC:0.3672
2023-05-23 21:58:26.003 317:pos-tag                INFO     ********************
2023-05-23 21:58:27.345 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:58:28.136 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:58:28.137 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:58:28.137 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:58:32.873 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:58:32.873 401:pos-tag                INFO     eval_acc = 0.4419
2023-05-23 21:58:32.873 401:pos-tag                INFO     eval_f1 = 0.0633
2023-05-23 21:58:32.873 401:pos-tag                INFO     eval_mcc = 0.4006
2023-05-23 21:58:32.873 401:pos-tag                INFO     eval_precision = 0.0739
2023-05-23 21:58:32.873 401:pos-tag                INFO     eval_recall = 0.0689
2023-05-23 21:58:32.873 293:pos-tag                INFO     ********************
2023-05-23 21:58:32.873 294:pos-tag                INFO     Best f1:0.0633
2023-05-23 21:58:32.873 295:pos-tag                INFO     ********************
2023-05-23 21:58:34.151 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:58:34.152 315:pos-tag                INFO     ********************
2023-05-23 21:58:34.152 316:pos-tag                INFO     Best MCC:0.4006
2023-05-23 21:58:34.152 317:pos-tag                INFO     ********************
2023-05-23 21:58:35.520 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:58:36.323 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:58:36.323 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:58:36.323 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:58:41.052 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:58:41.052 401:pos-tag                INFO     eval_acc = 0.4672
2023-05-23 21:58:41.052 401:pos-tag                INFO     eval_f1 = 0.0679
2023-05-23 21:58:41.052 401:pos-tag                INFO     eval_mcc = 0.4268
2023-05-23 21:58:41.053 401:pos-tag                INFO     eval_precision = 0.0781
2023-05-23 21:58:41.053 401:pos-tag                INFO     eval_recall = 0.0737
2023-05-23 21:58:41.053 293:pos-tag                INFO     ********************
2023-05-23 21:58:41.053 294:pos-tag                INFO     Best f1:0.0679
2023-05-23 21:58:41.053 295:pos-tag                INFO     ********************
2023-05-23 21:58:42.347 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:58:42.347 315:pos-tag                INFO     ********************
2023-05-23 21:58:42.348 316:pos-tag                INFO     Best MCC:0.4268
2023-05-23 21:58:42.348 317:pos-tag                INFO     ********************
2023-05-23 21:58:43.662 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:58:44.458 351:pos-tag                INFO   ***** Running evaluation *****
