2022-08-28 04:32:11.510 293:pos-tag                INFO     ********************
2022-08-28 04:32:11.510 294:pos-tag                INFO     Best f1:0.1262
2022-08-28 04:32:11.510 295:pos-tag                INFO     ********************
2022-08-28 04:32:15.049 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:32:15.049 315:pos-tag                INFO     ********************
2022-08-28 04:32:15.050 316:pos-tag                INFO     Best MCC:0.3935
2022-08-28 04:32:15.050 317:pos-tag                INFO     ********************
2022-08-28 04:32:17.235 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:32:18.070 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:32:18.070 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:32:18.070 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:32:21.464 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:32:21.465 401:pos-tag                INFO     eval_acc = 0.4979
2022-08-28 04:32:21.465 401:pos-tag                INFO     eval_f1 = 0.1564
2022-08-28 04:32:21.465 401:pos-tag                INFO     eval_mcc = 0.4691
2022-08-28 04:32:21.465 401:pos-tag                INFO     eval_precision = 0.2094
2022-08-28 04:32:21.465 401:pos-tag                INFO     eval_recall = 0.1488
2022-08-28 04:32:21.465 293:pos-tag                INFO     ********************
2022-08-28 04:32:21.465 294:pos-tag                INFO     Best f1:0.1564
2022-08-28 04:32:21.465 295:pos-tag                INFO     ********************
2022-08-28 04:32:24.104 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:32:24.104 315:pos-tag                INFO     ********************
2022-08-28 04:32:24.105 316:pos-tag                INFO     Best MCC:0.4691
2022-08-28 04:32:24.105 317:pos-tag                INFO     ********************
2022-08-28 04:32:26.047 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:32:26.879 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:32:26.879 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:32:26.880 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:32:30.276 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:32:30.276 401:pos-tag                INFO     eval_acc = 0.5272
2022-08-28 04:32:30.276 401:pos-tag                INFO     eval_f1 = 0.1684
2022-08-28 04:32:30.276 401:pos-tag                INFO     eval_mcc = 0.4974
2022-08-28 04:32:30.276 401:pos-tag                INFO     eval_precision = 0.2289
2022-08-28 04:32:30.276 401:pos-tag                INFO     eval_recall = 0.1649
2022-08-28 04:32:30.277 293:pos-tag                INFO     ********************
2022-08-28 04:32:30.277 294:pos-tag                INFO     Best f1:0.1684
2022-08-28 04:32:30.277 295:pos-tag                INFO     ********************
2022-08-28 04:32:33.908 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:32:33.908 315:pos-tag                INFO     ********************
2022-08-28 04:32:33.908 316:pos-tag                INFO     Best MCC:0.4974
2022-08-28 04:32:33.909 317:pos-tag                INFO     ********************
2022-08-28 04:32:36.185 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
